Positie,Land,Punten,Jaar
1,Finland,7.809,2020
2,Denemarken,7.646,2020
3,Zwitserland,7.56,2020
4,IJsland,7.504,2020
5,Noorwegen,7.488,2020
6,Nederland,7.449,2020
7,Zweden,7.353,2020
8,Nieuw-Zeeland,7.3,2020
9,Oostenrijk,7.294,2020
10,Luxemburg,7.238,2020
11,Canada,7.232,2020
12,Australië,7.223,2020
13,Verenigd Koninkrijk,7.165,2020
14,Israël,7.129,2020
15,Costa Rica,7.121,2020
16,Ierland,7.094,2020
17,Duitsland,7.076,2020
18,Verenigde Staten,6.94,2020
19,Tsjechië,6.911,2020
20,België,6.864,2020
21,Verenigde Arabische Emiraten,6.791,2020
22,Malta,6.773,2020
23,Frankrijk,6.664,2020
24,Mexico,6.465,2020
25,Taiwan,6.455,2020
26,Uruguay,6.44,2020
27,Saoedi-Arabië,6.406,2020
28,Spanje,6.401,2020
29,Guatemala,6.399,2020
30,Italië,6.387,2020
31,Singapore,6.377,2020
32,Brazilië,6.376,2020
33,Slovenië,6.363,2020
34,El Salvador,6.348,2020
35,Kosovo,6.325,2020
36,Panama,6.305,2020
37,Slowakije,6.281,2020
38,Oezbekistan,6.258,2020
39,Chili,6.228,2020
40,Bahrein,6.227,2020
41,Litouwen,6.215,2020
42,Trinidad en Tobago,6.192,2020
43,Polen,6.186,2020
44,Colombia,6.163,2020
45,Cyprus,6.159,2020
46,Nicaragua,6.137,2020
47,Romania,6.124,2020
48,Koeweit,6.102,2020
49,Mauritius,6.101,2020
50,Kazachstan,6.058,2020
51,Estland,6.022,2020
52,Filipijnen,6.006,2020
53,Hongarije,6.0,2020
54,Thailand,5.999,2020
55,Argentinië,5.975,2020
56,Honduras,5.953,2020
57,Letland,5.95,2020
58,Ecuador,5.925,2020
59,Portugal,5.911,2020
60,Jamaica,5.89,2020
61,Zuid-Korea,5.872,2020
62,Japan,5.871,2020
63,Peru,5.797,2020
64,Servië,5.778,2020
65,Bolivia,5.747,2020
66,Pakistan,5.693,2020
67,Paraguay,5.692,2020
68,Dominicaanse Republiek,5.689,2020
69,Bosnië en Herzegovina,5.674,2020
70,Moldavië,5.608,2020
71,Tadzjikistan,5.556,2020
72,Montenegro,5.546,2020
73,Rusland,5.546,2020
74,Kirgizië,5.542,2020
75,Wit-Rusland,5.54,2020
76,Noord-Cyprus,5.536,2020
77,Griekenland,5.515,2020
78,Hongkong,5.51,2020
79,Kroatië,5.505,2020
80,Libië,5.489,2020
81,Mongolië,5.456,2020
82,Maleisië,5.384,2020
83,Vietnam,5.353,2020
84,Indonesië,5.286,2020
85,Ivoorkust,5.233,2020
86,Benin,5.216,2020
87,Maldiven,5.198,2020
88,Congo-Brazzaville,5.194,2020
89,Azerbeidzjan,5.165,2020
90,Noord-Macedonië,5.16,2020
91,Ghana,5.148,2020
92,Nepal,5.137,2020
93,Turkije,5.132,2020
94,China,5.124,2020
95,Turkmenistan,5.119,2020
96,Bulgarije,5.102,2020
97,Marokko,5.095,2020
98,Kameroen,5.085,2020
99,Venezuela,5.053,2020
100,Algerije,5.005,2020
101,Senegal,4.981,2020
102,Guinee,4.949,2020
103,Niger,4.91,2020
104,Laos,4.889,2020
105,Albanië,4.883,2020
106,Cambodja,4.848,2020
107,Bangladesh,4.833,2020
108,Gabon,4.829,2020
109,Zuid-Afrika,4.814,2020
110,Irak,4.785,2020
111,Libanon,4.772,2020
112,Burkina Faso,4.769,2020
113,Gambia,4.751,2020
114,Mali,4.729,2020
115,Nigeria,4.724,2020
116,Armenië,4.677,2020
117,Georgië,4.673,2020
118,Iran,4.672,2020
119,Jordanië,4.633,2020
120,Mozambique,4.624,2020
121,Kenia,4.583,2020
122,Namibië,4.571,2020
123,Oekraïne,4.561,2020
124,Liberia,4.558,2020
125,Palestina,4.553,2020
126,Oeganda,4.432,2020
127,Tsjaad,4.423,2020
128,Tunesië,4.392,2020
129,Mauritanië,4.375,2020
130,Sri Lanka,4.327,2020
131,Congo-Kinshasa,4.311,2020
132,Swaziland,4.308,2020
133,Myanmar,4.308,2020
134,Comoren,4.289,2020
135,Togo,4.187,2020
136,Ethiopië,4.186,2020
137,Madagaskar,4.166,2020
138,Egypte,4.151,2020
139,Sierra Leone,3.926,2020
140,Burundi,3.775,2020
141,Zambia,3.759,2020
142,Haïti,3.721,2020
143,Lesotho,3.653,2020
144,India,3.573,2020
145,Malawi,3.538,2020
146,Jemen,3.527,2020
147,Botswana,3.479,2020
148,Tanzania,3.476,2020
149,Centraal-Afrikaanse Republiek,3.476,2020
150,Rwanda,3.312,2020
151,Zimbabwe,3.299,2020
152,Zuid-Soedan,2.817,2020
153,Afghanistan,2.567,2020
1,Finland,7.769,2019
2,Denemarken,7.6,2019
3,Noorwegen,7.554,2019
4,IJsland,7.494,2019
5,Nederland,7.488,2019
6,Zwitserland,7.48,2019
7,Zweden,7.343,2019
8,Nieuw-Zeeland,7.307,2019
9,Canada,7.278,2019
10,Oostenrijk,7.246,2019
11,Australië,7.228,2019
12,Costa Rica,7.167,2019
13,Israël,7.139,2019
14,Luxemburg,7.09,2019
15,Verenigd Koninkrijk,7.054,2019
16,Ierland,7.021,2019
17,Duitsland,6.985,2019
18,België,6.923,2019
19,Verenigde Staten van Amerika,6.892,2019
20,Tsjechië,6.852,2019
21,Verenigde Arabische Emiraten,6.825,2019
22,Malta,6.726,2019
23,Mexico,6.595,2019
24,Frankrijk,6.592,2019
25,Taiwan,6.446,2019
26,Chili,6.444,2019
27,Guatemala,6.436,2019
28,Saoedi-Arabië,6.375,2019
29,Qatar,6.374,2019
30,Spanje,6.354,2019
31,Panama,6.321,2019
32,Brazilië,6.3,2019
33,Uruguay,6.293,2019
34,Singapore,6.262,2019
35,El Salvador,6.253,2019
36,Italië,6.223,2019
37,Bahrein,6.199,2019
38,Slowakije,6.198,2019
39,Trinidad en Tobago,6.192,2019
40,Polen,6.182,2019
41,Oezbekistan,6.174,2019
42,Litouwen,6.149,2019
43,Colombia,6.125,2019
44,Slovenië,6.118,2019
45,Nicaragua,6.105,2019
46,Kosovo,6.1,2019
47,Argentinië,6.086,2019
48,Roemenië,6.07,2019
49,Cyprus,6.046,2019
50,Ecuador,6.028,2019
51,Koeweit,6.021,2019
52,Thailand,6.008,2019
53,Letland,5.94,2019
54,Zuid-Korea,5.895,2019
55,Estland,5.893,2019
56,Jamaica,5.89,2019
57,Mauritius,5.888,2019
58,Japan,5.886,2019
59,Honduras,5.86,2019
60,Kazachstan,5.809,2019
61,Bolivia,5.779,2019
62,Hongarije,5.758,2019
63,Paraguay,5.743,2019
64,Noord-Cyprus,5.718,2019
65,Peru,5.697,2019
66,Portugal,5.693,2019
67,Pakistan,5.653,2019
68,Rusland,5.648,2019
69,Filipijnen,5.631,2019
70,Servië,5.603,2019
71,Moldavië,5.529,2019
72,Libië,5.525,2019
73,Montenegro,5.523,2019
74,Tadzjikistan,5.467,2019
75,Kroatië,5.432,2019
76,Hongkong,5.43,2019
77,Dominicaanse Republiek,5.425,2019
78,Bosnië en Herzegovina,5.386,2019
79,Turkije,5.373,2019
80,Maleisië,5.339,2019
81,Wit-Rusland,5.323,2019
82,Griekenland,5.287,2019
83,Mongolië,5.285,2019
84,Noord-Macedonië,5.274,2019
85,Nigeria,5.265,2019
86,Kirgizië,5.261,2019
87,Turkmenistan,5.247,2019
88,Algerije,5.211,2019
89,Marokko,5.208,2019
90,Azerbeidzjan,5.208,2019
91,Libanon,5.197,2019
92,Indonesië,5.192,2019
93,China,5.191,2019
94,Vietnam,5.175,2019
95,Bhutan,5.082,2019
96,Kameroen,5.044,2019
97,Bulgarije,5.011,2019
98,Ghana,4.996,2019
99,Ivoorkust,4.944,2019
100,Nepal,4.913,2019
101,Jordanië,4.906,2019
102,Benin,4.883,2019
103,Congo-Brazzaville,4.812,2019
104,Gabon,4.799,2019
105,Laos,4.796,2019
106,Zuid-Afrika,4.722,2019
107,Albanië,4.719,2019
108,Venezuela,4.707,2019
109,Cambodja,4.7,2019
110,Palestina,4.696,2019
111,Senegal,4.681,2019
112,Somalië,4.668,2019
113,Namibië,4.639,2019
114,Niger,4.628,2019
115,Burkina Faso,4.587,2019
116,Armenië,4.559,2019
117,Iran,4.548,2019
118,Guinee,4.534,2019
119,Georgië,4.519,2019
120,Gambia,4.516,2019
121,Kenia,4.509,2019
122,Mauritanië,4.49,2019
123,Mozambique,4.466,2019
124,Tunesië,4.461,2019
125,Bangladesh,4.456,2019
126,Irak,4.437,2019
127,Congo-Kinshasa,4.418,2019
128,Mali,4.39,2019
129,Sierra Leone,4.374,2019
130,Sri Lanka,4.366,2019
131,Myanmar,4.36,2019
132,Tsjaad,4.35,2019
133,Oekraïne,4.332,2019
134,Ethiopië,4.286,2019
135,Swaziland,4.212,2019
136,Oeganda,4.189,2019
137,Egypte,4.166,2019
138,Zambia,4.107,2019
139,Togo,4.085,2019
140,India,4.015,2019
141,Liberia,3.975,2019
142,Comoren,3.973,2019
143,Madagaskar,3.933,2019
144,Lesotho,3.802,2019
145,Burundi,3.775,2019
146,Zimbabwe,3.663,2019
147,Haïti,3.597,2019
148,Botswana,3.488,2019
149,Syrië,3.462,2019
150,Malawi,3.41,2019
151,Jemen,3.38,2019
152,Rwanda,3.334,2019
153,Tanzania,3.231,2019
154,Afghanistan,3.203,2019
155,Centraal-Afrikaanse Republiek,3.083,2019
156,Zuid-Soedan,2.853,2019
